order_id,order_status,order_source,order_date,category,sku,quantity,sales,city
143599,Shipped,Web,2025-09-02,HNS,201-12,1,1390,Hyderabad
14362,Shipped,Web,2025-10-02,WD,SunFlower,1,1390,Multan
14589,Shipped,Web,2025-07-04,HNS,201-12,1,1390,Islamabad
14614,Shipped,Web,2025-09-04,CK,BoldS15,1,1390,Islamabad
14085,Shipped,Web,2025-02-01,CK,Minim15,1,1490,Hyderabad
14092,Shipped,Web,2025-03-01,CK,Crclr15,1,1490,Sheikhupura
14097,Shipped,Web,2025-03-01,HNS,101-12,1,1490,Faisalabad
14099,Shipped,Web,2025-03-01,CK,Minim15,1,1490,Jhelum
14130,Shipped,Web,2025-08-01,CK,Minim15,1,1490,Sargodha
14142,Shipped,Web,2025-11-01,CK,Crclr15,1,1490,Kasur
14152,Shipped,Web,2025-12-01,CK,Minim15,1,1490,Peshawar
14345,Shipped,Web,2025-06-02,HNS,101-12,1,1490,Islamabad
14354,Shipped,Web,2025-08-02,CK,Minim15,1,1490,Rawalpindi
14561,Shipped,Web,2025-02-04,HNS,101-12,1,1490,Islamabad
14606,Shipped,Web,2025-09-04,CK,Gear15,1,1490,ABDUL HAKIM
14713,Shipped,Web,2025-03-05,HNS,101-12,1,1490,Sialkot
14089,Shipped,Web,2025-02-01,CK,Dng,1,1590,Sahiwal
14095,Shipped,Web,2025-03-01,CK,Dng,1,1590,Quetta
14103,Shipped,Web,2025-04-01,CK,Zen16,1,1590,Mirpur (a. K)
14111,Shipped,Web,2025-05-01,CK,Dng,1,1590,Quetta
141111,Shipped,Web,2025-05-01,CK,Dng,1,1590,Quetta
14117,Shipped,Web,2025-06-01,CK,Dng,1,1590,Tando ala yar
14134,Shipped,Web,2025-09-01,CK,Zen16,1,1590,Quetta
14140,Shipped,Web,2025-11-01,CK,Dng,1,1590,Hasilpur
14144,Shipped,Web,2025-11-01,CK,Zen16,1,1590,Gujar Khan
14149,Shipped,Web,2025-11-01,CK,Zen16,1,1590,Islamabad
14155,Shipped,Web,2025-12-01,CK,Dng,1,1590,Multan
14331,Shipped,Web,2025-05-02,CK,Dng,1,1590,Mardan
14337,Shipped,Web,2025-05-02,CK,Dng,1,1590,Hyderabad
14364,Shipped,Web,2025-10-02,CK,Dng,1,1590,Sialkot
14608,Shipped,Web,2025-09-04,CK,Dng,1,1590,Islamabad
14641,Shipped,Web,2025-12-04,CK,Zen16,1,1590,Jampur
5444,Shipped,Whatsapp,2025-03-01,CK,Zen16,1,1590,Hyderabad
14467,Shipped,Web,2025-11-03,HNS,201-15,1,1690,Islamabad
14583,Shipped,Web,2025-06-04,HNS,201-15,1,1690,Islamabad
14596,Shipped,Web,2025-08-04,HNS,201-15,1,1690,Faisalabad
14735,Shipped,Web,2025-12-05,HNS,201-15,1,1690,Islamabad
14742,Shipped,Web,2025-12-05,HNS,201-15,1,1690,Islamabad
14110,Shipped,Web,2025-05-01,HNS,101-12,1,1790,Hafizabad
14121,Shipped,Web,2025-07-01,WD,pta,1,1790,Islamabad
14339,Shipped,Web,2025-05-02,WD,pta,1,1790,Chicha Watni
14464,Shipped,Web,2025-05-03,HNS,101-12,1,1790,Islamabad
